epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,483.837,1.08884,2.19869,2.95848,0.00884,2.76599,0.50563,0.4944,0.47461,0.35357,0.51772,0.48818,0.4641,0.34876,1.34067,2.50417,2.35083,0.02467,0,0.00996942,0.00332314,0.00996942,0.00332314,0.076738,0.0700917,0.00996942,0.00332314
2,898.742,1.11485,1.95154,1.69218,0.00864,1.56341,0.48867,0.47019,0.44936,0.30878,0.48652,0.44853,0.43899,0.31415,1.50413,2.70286,2.4392,0.02871,0,0.0197717,0.00659057,0.0197717,0.00659057,0.053207,0.0400258,0.0197717,0.00659057
3,1297.98,1.24407,2.12197,1.80772,0.01085,1.64161,0.48243,0.39257,0.36353,0.24235,0.48918,0.39809,0.36565,0.25627,1.70877,3.05852,2.79944,0.03402,0,0.029376,0.00979201,0.029376,0.00979201,0.029478,0.00989394,0.029376,0.00979201
4,1693.88,1.37552,2.29563,1.94104,0.01164,1.75482,0.44831,0.41508,0.40333,0.25348,0.45157,0.41047,0.39907,0.27251,1.66342,2.88469,2.56577,0.03277,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2089.45,1.39144,2.27089,1.90608,0.01187,1.69933,0.50909,0.51893,0.50849,0.32903,0.51761,0.51971,0.5076,0.35789,1.6343,2.7506,2.20686,0.03179,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2483.14,1.38496,2.22471,1.84127,0.01161,1.59747,0.54659,0.51825,0.52117,0.34383,0.55329,0.52318,0.5198,0.36563,1.59649,2.65874,2.147,0.03137,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2878.03,1.35619,2.16461,1.77411,0.01124,1.51094,0.54044,0.49325,0.49523,0.33397,0.52785,0.48684,0.48634,0.35556,1.59113,2.66827,2.2334,0.03135,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,3272.03,1.33659,2.12055,1.71306,0.01065,1.46794,0.54257,0.54457,0.52632,0.36478,0.53247,0.53886,0.51832,0.37859,1.54681,2.50038,2.10905,0.0296,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,3665.37,1.32973,2.06805,1.66923,0.01107,1.40286,0.58288,0.56044,0.56507,0.38987,0.60685,0.54665,0.56186,0.40905,1.56291,2.52849,2.20955,0.02993,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,4059.8,1.30968,2.08378,1.65886,0.01099,1.39476,0.55533,0.56381,0.5643,0.37606,0.56482,0.56737,0.56581,0.41028,1.55471,2.39725,1.99364,0.03032,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,4454.03,1.31699,2.04848,1.62881,0.011,1.3456,0.6502,0.53261,0.58453,0.40228,0.60132,0.56243,0.57832,0.42919,1.5114,2.46827,1.952,0.029,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,4847.91,1.29383,2.00432,1.59281,0.01079,1.33563,0.61005,0.56978,0.58753,0.42217,0.61233,0.5716,0.5857,0.4395,1.51969,2.57794,2.16158,0.02847,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,5240.66,1.28747,2.04073,1.58219,0.01056,1.27441,0.67108,0.55174,0.60708,0.42596,0.66363,0.55522,0.59948,0.44548,1.53832,2.35543,1.88573,0.02965,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,5634.97,1.2707,1.946,1.5344,0.01005,1.24471,0.63918,0.56826,0.59948,0.41306,0.60169,0.5777,0.59047,0.42683,1.48134,2.39323,1.98461,0.02817,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,6029.32,1.26546,1.94355,1.51448,0.01032,1.27085,0.67201,0.57935,0.61881,0.43168,0.64705,0.58092,0.613,0.44915,1.49791,2.38457,1.86531,0.02868,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,6423.61,1.23551,1.89793,1.48262,0.01016,1.22703,0.60508,0.5501,0.5667,0.38184,0.60678,0.55119,0.56941,0.42245,1.56191,2.42387,2.02867,0.03014,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,6817.48,1.24314,1.92038,1.46615,0.00999,1.20756,0.64056,0.59082,0.6144,0.44334,0.65231,0.59357,0.61226,0.45536,1.49228,2.3805,1.88765,0.0284,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,7211.47,1.22327,1.84917,1.40739,0.00982,1.16983,0.60003,0.59363,0.61525,0.43217,0.59951,0.59416,0.60839,0.444,1.46038,2.33217,1.87614,0.02765,0,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,7605.67,1.22733,1.87361,1.42449,0.01002,1.14985,0.66657,0.61044,0.64684,0.47037,0.65145,0.60974,0.63219,0.47784,1.40423,2.23215,1.76679,0.02576,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,7999.49,1.22568,1.86904,1.41581,0.00979,1.11831,0.71926,0.5923,0.64898,0.48019,0.72493,0.59343,0.64381,0.49003,1.37889,2.23132,1.78995,0.0246,0,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,8395.47,1.22896,1.86009,1.40226,0.00961,1.09877,0.68022,0.63453,0.6624,0.47719,0.68629,0.62506,0.65286,0.49791,1.4374,2.26293,1.73055,0.02654,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,8791.49,1.18619,1.8023,1.35033,0.00962,1.08568,0.69913,0.64534,0.67928,0.48556,0.71057,0.63942,0.67611,0.49876,1.40967,2.18979,1.62961,0.02631,0,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,9187.01,1.18802,1.78584,1.33516,0.00951,1.06015,0.71289,0.65194,0.67607,0.4781,0.70607,0.64418,0.66873,0.50003,1.42334,2.21572,1.64721,0.0272,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,9582.13,1.20639,1.80527,1.34815,0.00952,1.0392,0.65152,0.63776,0.66236,0.47713,0.6717,0.63992,0.66386,0.49986,1.40349,2.15792,1.72152,0.02641,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,9975.91,1.18563,1.76429,1.3079,0.00926,1.01455,0.71169,0.63121,0.67898,0.48709,0.70747,0.62465,0.67092,0.50555,1.38887,2.13319,1.65211,0.02634,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,10370.2,1.17798,1.73885,1.30919,0.009,0.99173,0.72607,0.64399,0.68173,0.48728,0.7314,0.64513,0.68185,0.51048,1.41607,2.19563,1.65912,0.02676,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,10764.9,1.17083,1.73558,1.2774,0.00891,0.98099,0.70394,0.64262,0.67873,0.50086,0.70273,0.63979,0.66803,0.51213,1.37958,2.21677,1.7101,0.02525,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,11160.2,1.16596,1.74299,1.27652,0.00896,0.99215,0.69779,0.65206,0.6781,0.50159,0.70378,0.64294,0.67724,0.51162,1.3918,2.13248,1.60844,0.02568,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,11554.8,1.1501,1.70553,1.258,0.00892,0.96072,0.67642,0.66389,0.69298,0.50282,0.66996,0.66213,0.68607,0.52041,1.37014,2.09214,1.58784,0.02502,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,11949.4,1.13639,1.71729,1.25625,0.00911,0.99316,0.73047,0.64748,0.69609,0.50809,0.70699,0.65237,0.6889,0.51748,1.36182,2.14153,1.58587,0.025,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,12342.4,1.14792,1.70773,1.23424,0.00911,0.97945,0.74856,0.64971,0.6888,0.49974,0.75194,0.64852,0.68584,0.50578,1.38775,2.17135,1.66697,0.02589,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,12735.5,1.13966,1.69002,1.23386,0.00891,0.97957,0.71808,0.66249,0.71379,0.52899,0.71985,0.65838,0.71114,0.54173,1.35198,2.03703,1.46583,0.02501,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,13129.2,1.12896,1.64211,1.19012,0.00863,0.89847,0.7002,0.68174,0.70216,0.53335,0.698,0.68125,0.69962,0.53278,1.31733,2.0956,1.49429,0.0233,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,13522.8,1.11393,1.64179,1.18413,0.00865,0.92585,0.72448,0.67558,0.70669,0.52115,0.73962,0.67365,0.70427,0.52411,1.36799,2.09348,1.57953,0.02472,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,13915.7,1.11578,1.64646,1.17528,0.0086,0.88446,0.74835,0.669,0.71167,0.53083,0.74525,0.67307,0.71181,0.53617,1.34152,2.023,1.50499,0.02418,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,14308,1.12054,1.65772,1.16799,0.00854,0.90605,0.74408,0.67358,0.72776,0.54712,0.74248,0.67535,0.72194,0.54278,1.32094,2.04987,1.44732,0.02353,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,14700.8,1.109,1.62447,1.15155,0.00875,0.87895,0.77486,0.66327,0.73055,0.55047,0.77435,0.66178,0.72724,0.55505,1.3063,2.06189,1.45166,0.02342,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,15093.7,1.09764,1.60832,1.14618,0.00842,0.86539,0.75588,0.65914,0.71464,0.54033,0.75184,0.66234,0.71099,0.53746,1.33485,2.17657,1.54199,0.0238,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
