epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,243.528,1.13438,2.50759,4.57579,0.01229,5.71746,0.20685,0.30147,0.20026,0.14415,0.20105,0.30116,0.19995,0.13666,0.99931,1.74748,1.95354,0.01442,0,0.00012271,0.00012271,0.00012271
2,467.969,1.0582,1.8696,2.23648,0.01089,3.34108,0.39927,0.4839,0.39143,0.28667,0.39378,0.47693,0.38844,0.27226,0.94731,1.62611,1.39813,0.01365,0,0.00024442,0.00024442,0.00024442
3,690.423,1.03567,1.71301,1.70832,0.01044,2.50916,0.5017,0.57492,0.53328,0.39864,0.51385,0.57371,0.53892,0.40962,0.94953,1.33586,1.10232,0.01357,0,0.000364501,0.000364501,0.000364501
4,911.386,1.01282,1.6423,1.49037,0.0101,1.54937,0.45776,0.62172,0.57107,0.4343,0.46272,0.62545,0.58104,0.44566,0.9096,1.21901,0.93396,0.0127,0,0.000362674,0.000362674,0.000362674
5,1132.25,1.00417,1.60248,1.37572,0.00998,0.94434,0.50605,0.69048,0.60083,0.4688,0.51767,0.69282,0.61038,0.46993,0.84918,1.16162,0.86657,0.01145,0,0.000360232,0.000360232,0.000360232
6,1353.12,1.00307,1.60944,1.31075,0.01045,0.87705,0.5192,0.74657,0.6249,0.47656,0.52316,0.75258,0.62299,0.47627,0.87708,1.14906,0.81724,0.01195,0,0.00035779,0.00035779,0.00035779
7,1574.25,0.97333,1.50402,1.23886,0.00953,0.83726,0.59308,0.70921,0.63124,0.49559,0.59609,0.70104,0.63937,0.49933,0.79924,1.07702,0.72833,0.01062,0,0.000355348,0.000355348,0.000355348
8,1795.2,0.94914,1.4735,1.17939,0.00933,0.79975,0.5492,0.66882,0.59258,0.46896,0.55767,0.66732,0.59652,0.47325,0.79603,1.06159,0.7641,0.01059,0,0.000352906,0.000352906,0.000352906
9,2016.39,0.94206,1.45517,1.14597,0.00911,0.79131,0.55261,0.76418,0.66143,0.52385,0.55716,0.76465,0.67236,0.52959,0.80665,1.04952,0.68568,0.01047,0,0.000350464,0.000350464,0.000350464
10,2237.07,0.91888,1.42613,1.11613,0.00887,0.76544,0.52553,0.74019,0.63418,0.50752,0.52646,0.73665,0.63163,0.50519,0.78398,1.04055,0.74191,0.01041,0,0.000348022,0.000348022,0.000348022
